Date,Actual_Sales,P05_Forecast,P25_Forecast,Expected_Forecast,Median_Forecast,P75_Forecast,P95_Forecast
2025-12-13,3203.0,2210.93,2424.46,2574.75,2579.15,2735.1,2951.55
2025-12-20,2820.0,1709.77,1927.98,2070.3,2079.54,2231.3,2443.41
2025-12-27,2020.0,1489.41,1700.6,1862.4,1865.51,2032.2,2267.39
2026-01-03,2092.0,1617.29,1840.05,2003.32,2012.78,2176.87,2394.36
2026-01-10,2282.0,1867.81,2085.77,2240.95,2255.7,2396.39,2609.51
2026-01-17,2129.0,1955.36,2152.55,2320.54,2294.96,2456.2,2692.35
2026-01-24,1974.0,1886.6,2109.14,2273.32,2281.08,2444.6,2661.4
2026-01-31,2420.0,1746.33,1966.63,2119.65,2123.3,2272.64,2478.04
2026-02-07,2073.0,1696.55,1920.84,2064.05,2083.24,2237.83,2439.04
2026-02-14,2707.0,1879.83,2081.98,2250.12,2246.89,2407.3,2638.5
2026-02-21,2660.0,2114.67,2364.28,2501.95,2513.62,2666.16,2887.19
2026-02-28,2642.0,2340.08,2554.25,2702.76,2704.7,2843.96,3070.79
2026-03-07,2815.0,2341.8,2572.03,2722.2,2717.14,2884.22,3116.05
2026-03-14,2388.0,2326.01,2519.02,2682.54,2683.97,2815.15,3041.92
2026-03-21,2993.0,2252.32,2470.52,2625.11,2625.44,2794.12,3008.73
2026-03-28,2599.0,2213.97,2401.88,2570.37,2562.16,2711.56,2911.25
2026-04-04,2199.0,2111.8,2337.73,2486.06,2483.67,2630.72,2878.22
2026-04-11,2427.0,1961.48,2175.01,2314.14,2325.74,2483.19,2701.29
2026-04-18,2190.0,1725.27,1938.66,2100.93,2100.81,2251.63,2482.28
2026-04-25,1756.0,1661.72,1861.79,2036.25,2036.88,2196.22,2424.94
2026-05-02,2295.0,1741.84,1974.44,2132.25,2134.19,2294.22,2513.85
2026-05-09,2423.0,2041.62,2266.97,2431.77,2428.05,2585.09,2792.93
2026-05-16,2346.0,2230.15,2465.07,2624.12,2605.28,2778.25,3003.55
2026-05-23,2443.0,2237.86,2478.09,2641.06,2634.61,2806.01,3032.19
2026-05-30,2193.0,2118.08,2360.57,2507.37,2516.66,2667.69,2877.83
2026-06-06,2180.0,1953.51,2206.0,2363.81,2361.88,2525.18,2761.61
2026-06-13,2505.0,1999.85,2226.29,2385.68,2385.23,2546.36,2777.82
2026-06-20,2778.0,2095.84,2319.36,2474.11,2474.31,2622.33,2878.87
2026-06-27,2249.0,2221.99,2412.72,2582.77,2575.66,2742.14,2978.97
2026-07-04,2193.0,2234.95,2466.9,2608.06,2614.87,2763.09,2991.66
2026-07-11,3027.0,2244.98,2451.74,2612.65,2601.38,2767.82,2998.08
2026-07-18,2554.0,2141.11,2369.69,2531.27,2534.04,2696.96,2919.64
2026-07-25,2164.0,2092.46,2333.55,2480.22,2499.08,2636.92,2867.56
2026-08-01,2286.0,2043.18,2285.63,2440.92,2437.27,2587.13,2798.38
2026-08-08,2011.0,2002.21,2210.56,2374.94,2372.37,2526.6,2748.06
2026-08-15,2149.0,1962.93,2178.06,2341.03,2324.13,2486.73,2726.36
2026-08-22,2327.0,1963.2,2197.43,2350.74,2342.37,2506.71,2710.95
2026-08-29,2435.0,2063.98,2267.63,2426.79,2416.43,2581.89,2799.43
2026-09-05,2319.0,2117.56,2327.21,2482.09,2480.83,2637.58,2861.53
2026-09-12,2522.0,2173.49,2392.06,2540.88,2562.59,2696.18,2935.53
2026-09-19,2383.0,2196.79,2434.18,2590.44,2597.77,2739.14,2953.91
2026-09-26,2211.0,2284.48,2486.06,2650.34,2638.72,2805.14,3026.72
2026-10-03,2582.0,2386.63,2621.45,2784.66,2775.5,2937.18,3191.66
2026-10-10,2744.0,2536.51,2755.63,2903.64,2909.3,3068.71,3311.11
2026-10-17,2956.0,2561.66,2791.68,2956.9,2959.65,3109.3,3318.02
2026-10-24,2732.0,2495.14,2727.86,2885.5,2888.65,3028.9,3260.92
2026-10-31,2715.0,2454.23,2701.01,2855.36,2857.41,3005.84,3220.77
2026-11-07,2792.0,2635.44,2841.83,3001.05,3000.21,3152.03,3371.23
2026-11-14,3787.0,3000.86,3250.54,3405.07,3393.25,3549.58,3762.89
2026-11-21,4198.0,3484.69,3708.59,3894.14,3877.37,4046.96,4265.0
2026-11-28,3817.0,3820.03,4050.62,4198.86,4194.81,4357.19,4589.6
2026-12-05,4358.0,3745.95,3943.73,4096.36,4102.94,4265.3,4486.67
