Date,22197,84077,84879,85099B,85123A
2018-12-01,271.0,0.0,224.0,556.0,454.0
2018-12-02,74.0,384.0,503.0,48.0,309.0
2018-12-03,67.0,49.0,48.0,49.0,60.0
2018-12-04,0.0,0.0,0.0,0.0,0.0
2018-12-05,81.0,96.0,129.0,39.0,198.0
2018-12-06,265.0,8.0,130.0,157.0,161.0
2018-12-07,130.0,50.0,271.0,343.0,377.0
2018-12-08,213.0,240.0,91.0,205.0,151.0
2018-12-09,260.0,52.0,120.0,21.0,195.0
2018-12-10,95.0,67.0,152.0,125.0,196.0
2018-12-11,0.0,0.0,0.0,0.0,0.0
2018-12-12,49.0,96.0,25.0,1.0,42.0
2018-12-13,45.0,242.0,82.0,28.0,337.0
2018-12-14,282.0,144.0,228.0,63.0,190.0
2018-12-15,355.0,0.0,120.0,80.0,112.0
2018-12-16,19.0,51.0,160.0,210.0,790.0
2018-12-17,272.0,61.0,40.0,45.0,58.0
2018-12-18,0.0,0.0,0.0,0.0,0.0
2018-12-19,8.0,99.0,8.0,1.0,42.0
2018-12-20,169.0,52.0,0.0,47.0,85.0
2018-12-21,75.0,48.0,24.0,122.0,42.0
2018-12-22,0.0,0.0,0.0,1.0,25.0
2018-12-23,8.0,0.0,16.0,11.0,47.0
2018-12-24,0.0,0.0,0.0,0.0,0.0
2018-12-25,0.0,0.0,0.0,0.0,0.0
2018-12-26,0.0,0.0,0.0,0.0,0.0
2018-12-27,0.0,0.0,0.0,0.0,0.0
2018-12-28,0.0,0.0,0.0,0.0,0.0
2018-12-29,0.0,0.0,0.0,0.0,0.0
2018-12-30,0.0,0.0,0.0,0.0,0.0
2018-12-31,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0
2019-01-02,0.0,0.0,0.0,0.0,0.0
2019-01-03,0.0,0.0,0.0,0.0,0.0
2019-01-04,23.0,1.0,72.0,27.0,67.0
2019-01-05,3.0,624.0,232.0,436.0,304.0
2019-01-06,136.0,0.0,88.0,354.0,171.0
2019-01-07,36.0,0.0,24.0,514.0,334.0
2019-01-08,0.0,0.0,0.0,0.0,0.0
2019-01-09,9.0,0.0,64.0,43.0,97.0
2019-01-10,7.0,48.0,88.0,57.0,12.0
2019-01-11,20.0,144.0,256.0,1.0,174.0
2019-01-12,24.0,48.0,32.0,4.0,83.0
2019-01-13,29.0,0.0,38.0,33.0,8.0
